tweet_url,date,user_name,tweet_content,lang,is_user_verified,country,alpha_2_code,content,polarity,subjectivity,sentiment,neg,neu,pos,compound,punct,tokenized,nonstop,stemmed,year
https://twitter.com/ICRALimited/status/1322051909000245248,2020-10-30,ICRALimited,"Aditi Nayar Principal Economist, shares her views on the Indian Economy.

#ICRAViews #ICRAReports #Economy #IndianEconomy

Click here to view our previous podcasts: https://t.co/OrAuYio5NN https://t.co/njS9JILhSI",en,False,India,IN,aditi nayar principal economist  shares her views on the indian economy    icraviews  icrareports  economy  indianeconomy  click here to view our previous podcasts     ,-0.1666666666666666,0.1666666666666666,positive,0.0,0.905,0.095,0.296,aditi nayar principal economist  shares her views on the indian economy    icraviews  icrareports  economy  indianeconomy  click here to view our previous podcasts     ,"['aditi', 'nayar', 'principal', 'economist', 'shares', 'her', 'views', 'on', 'the', 'indian', 'economy', 'icraviews', 'icrareports', 'economy', 'indianeconomy', 'click', 'here', 'to', 'view', 'our', 'previous', 'podcasts', '']","['aditi', 'nayar', 'principal', 'economist', 'shares', 'views', 'indian', 'economy', 'icraviews', 'icrareports', 'economy', 'indianeconomy', 'click', 'view', 'previous', 'podcasts', '']","['aditi', 'nayar', 'princip', 'economist', 'share', 'view', 'indian', 'economi', 'icraview', 'icrareport', 'economi', 'indianeconomi', 'click', 'view', 'previou', 'podcast', '']",2020
https://twitter.com/imwilliamsimon1/status/1567366048164491265,2022-09-07,imwilliamsimon1,#Technology and #innovation can heighten the pace of #economicgrowth in #Africa - #tech #economy #healthcare #investment https://t.co/2s37ru6pVp,en,False,Portugal,PT, technology and  innovation can heighten the pace of  economicgrowth in  africa    tech  economy  healthcare  investment  ,0.0,0.0,positive,0.0,0.843,0.157,0.3818, technology and  innovation can heighten the pace of  economicgrowth in  africa    tech  economy  healthcare  investment  ,"['', 'technology', 'and', 'innovation', 'can', 'heighten', 'the', 'pace', 'of', 'economicgrowth', 'in', 'africa', 'tech', 'economy', 'healthcare', 'investment', '']","['', 'technology', 'innovation', 'heighten', 'pace', 'economicgrowth', 'africa', 'tech', 'economy', 'healthcare', 'investment', '']","['', 'technolog', 'innov', 'heighten', 'pace', 'economicgrowth', 'africa', 'tech', 'economi', 'healthcar', 'invest', '']",2022
https://twitter.com/fin_moov/status/1482997570653675525,2022-01-17,fin_moov,"Impact of Omicron 🦠 : 1.68 million people  who said they had a job but were not at work due to illness. Monthly survey data from the US Bureau of Labor Statistics shows !  

#stockmarket #economy #investing https://t.co/1BRdv9cfuw",en,False,United States,US,impact of omicron     1 68 million people  who said they had a job but were not at work due to illness  monthly survey data from the us bureau of labor statistics shows       stockmarket  economy  investing  ,-0.125,0.375,negative,0.1,0.9,0.0,-0.5499,impact of omicron       million people  who said they had a job but were not at work due to illness  monthly survey data from the us bureau of labor statistics shows       stockmarket  economy  investing  ,"['impact', 'of', 'omicron', 'million', 'people', 'who', 'said', 'they', 'had', 'a', 'job', 'but', 'were', 'not', 'at', 'work', 'due', 'to', 'illness', 'monthly', 'survey', 'data', 'from', 'the', 'us', 'bureau', 'of', 'labor', 'statistics', 'shows', 'stockmarket', 'economy', 'investing', '']","['impact', 'omicron', 'million', 'people', 'said', 'job', 'work', 'due', 'illness', 'monthly', 'survey', 'data', 'us', 'bureau', 'labor', 'statistics', 'shows', 'stockmarket', 'economy', 'investing', '']","['impact', 'omicron', 'million', 'peopl', 'said', 'job', 'work', 'due', 'ill', 'monthli', 'survey', 'data', 'us', 'bureau', 'labor', 'statist', 'show', 'stockmarket', 'economi', 'invest', '']",2022
https://twitter.com/HollyNHubbell/status/1456677705076801540,2021-11-05,HollyNHubbell,"The last two years have been full of extraordinary challenges with lockdowns and restrictions hitting economies and #markets hard and fast. Now, the emergence of #inflation should be reflected in your portfolio construction. #investments #economy https://t.co/02I75ANm5K https://t.co/RrXyfrf6EL",en,False,United States,US,the last two years have been full of extraordinary challenges with lockdowns and restrictions hitting economies and  markets hard and fast  now  the emergence of  inflation should be reflected in your portfolio construction   investments  economy    ,0.1183333333333333,0.5516666666666666,negative,0.039,0.924,0.036,-0.0258,the last two years have been full of extraordinary challenges with lockdowns and restrictions hitting economies and  markets hard and fast  now  the emergence of  inflation should be reflected in your portfolio construction   investments  economy    ,"['the', 'last', 'two', 'years', 'have', 'been', 'full', 'of', 'extraordinary', 'challenges', 'with', 'lockdowns', 'and', 'restrictions', 'hitting', 'economies', 'and', 'markets', 'hard', 'and', 'fast', 'now', 'the', 'emergence', 'of', 'inflation', 'should', 'be', 'reflected', 'in', 'your', 'portfolio', 'construction', 'investments', 'economy', '']","['last', 'two', 'years', 'full', 'extraordinary', 'challenges', 'lockdowns', 'restrictions', 'hitting', 'economies', 'markets', 'hard', 'fast', 'emergence', 'inflation', 'reflected', 'portfolio', 'construction', 'investments', 'economy', '']","['last', 'two', 'year', 'full', 'extraordinari', 'challeng', 'lockdown', 'restrict', 'hit', 'economi', 'market', 'hard', 'fast', 'emerg', 'inflat', 'reflect', 'portfolio', 'construct', 'invest', 'economi', '']",2021
https://twitter.com/Alex_Carrick/status/940244807838027776,2017-12-11,Alex_Carrick,Nfld/Lab Export Sales infograph https://t.co/GcSSbilFHq #economy #construction #banking @ConstructConnx https://t.co/eDHNsee0hG,en,False,Canada,CA,nfld lab export sales infograph    economy  construction  banking    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,nfld lab export sales infograph    economy  construction  banking    ,"['nfld', 'lab', 'export', 'sales', 'infograph', 'economy', 'construction', 'banking', '']","['nfld', 'lab', 'export', 'sales', 'infograph', 'economy', 'construction', 'banking', '']","['nfld', 'lab', 'export', 'sale', 'infograph', 'economi', 'construct', 'bank', '']",2017
https://twitter.com/ETFHeatMap/status/1020591179518431232,2018-07-21,ETFHeatMap,US Farm Belt at Risk on China Tariffs: ETFs in Focus  #stocks #investment @ETFHeatMap #income #ETF #economy #dividends #market #NYSE #NASDAQ #401k #retirement #personalfinance #trader #security  https://t.co/HKWU6899kU,en,False,China,CN,us farm belt at risk on china tariffs  etfs in focus   stocks  investment    income  etf  economy  dividends  market  nyse  nasdaq  401k  retirement  personalfinance  trader  security   ,0.0,0.0,positive,0.076,0.836,0.087,0.0772,us farm belt at risk on china tariffs  etfs in focus   stocks  investment    income  etf  economy  dividends  market  nyse  nasdaq  k  retirement  personalfinance  trader  security   ,"['us', 'farm', 'belt', 'at', 'risk', 'on', 'china', 'tariffs', 'etfs', 'in', 'focus', 'stocks', 'investment', 'income', 'etf', 'economy', 'dividends', 'market', 'nyse', 'nasdaq', 'k', 'retirement', 'personalfinance', 'trader', 'security', '']","['us', 'farm', 'belt', 'risk', 'china', 'tariffs', 'etfs', 'focus', 'stocks', 'investment', 'income', 'etf', 'economy', 'dividends', 'market', 'nyse', 'nasdaq', 'k', 'retirement', 'personalfinance', 'trader', 'security', '']","['us', 'farm', 'belt', 'risk', 'china', 'tariff', 'etf', 'focu', 'stock', 'invest', 'incom', 'etf', 'economi', 'dividend', 'market', 'nyse', 'nasdaq', 'k', 'retir', 'personalfin', 'trader', 'secur', '']",2018
https://twitter.com/robinsnewswire/status/1481464525652041728,2022-01-13,robinsnewswire,"""#Economy News: Texas economy booming at close of 2021 - https://t.co/APpy8GJZrs #News"": https://t.co/0FHdv1lK0C",en,False,Italy,IT,  economy news  texas economy booming at close of 2021      news    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,  economy news  texas economy booming at close of       news    ,"['', 'economy', 'news', 'texas', 'economy', 'booming', 'at', 'close', 'of', 'news', '']","['', 'economy', 'news', 'texas', 'economy', 'booming', 'close', 'news', '']","['', 'economi', 'news', 'texa', 'economi', 'boom', 'close', 'news', '']",2022
https://twitter.com/millyengel/status/1597921359316688898,2022-11-30,millyengel,"Sticky drivers of #inflation, those items that are typically slow to change, have been steadily increasing in 2022. However, there are some tentative signs that stickier drivers of inflation may begin to slow &amp; even begin to come disinflationary. #economy https://t.co/epvd3d3Lf5 https://t.co/Pl1QQtuFJx",en,False,Ireland,IE,sticky drivers of  inflation  those items that are typically slow to change  have been steadily increasing in 2022  however  there are some tentative signs that stickier drivers of inflation may begin to slow  amp  even begin to come disinflationary   economy    ,-0.1444444444444445,0.4333333333333333,neutral,0.0,1.0,0.0,0.0,sticky drivers of  inflation  those items that are typically slow to change  have been steadily increasing in   however  there are some tentative signs that stickier drivers of inflation may begin to slow  amp  even begin to come disinflationary   economy    ,"['sticky', 'drivers', 'of', 'inflation', 'those', 'items', 'that', 'are', 'typically', 'slow', 'to', 'change', 'have', 'been', 'steadily', 'increasing', 'in', 'however', 'there', 'are', 'some', 'tentative', 'signs', 'that', 'stickier', 'drivers', 'of', 'inflation', 'may', 'begin', 'to', 'slow', 'amp', 'even', 'begin', 'to', 'come', 'disinflationary', 'economy', '']","['sticky', 'drivers', 'inflation', 'items', 'typically', 'slow', 'change', 'steadily', 'increasing', 'however', 'tentative', 'signs', 'stickier', 'drivers', 'inflation', 'may', 'begin', 'slow', 'amp', 'even', 'begin', 'come', 'disinflationary', 'economy', '']","['sticki', 'driver', 'inflat', 'item', 'typic', 'slow', 'chang', 'steadili', 'increas', 'howev', 'tent', 'sign', 'stickier', 'driver', 'inflat', 'may', 'begin', 'slow', 'amp', 'even', 'begin', 'come', 'disinflationari', 'economi', '']",2022
https://twitter.com/TheCXMagazine/status/1022396838899580928,2018-07-26,TheCXMagazine,"Forget the Rear View: Look #Ahead for #CX #Success

#customer #customerexperience #economy #TiffanyCarpenter #article #SAS #UK #analytics #finalists #UKCXAwards #Judge

https://t.co/9ZanjyWjhD https://t.co/XZG1PKf7WB",en,False,United Kingdom,GB,forget the rear view  look  ahead for  cx  success   customer  customerexperience  economy  tiffanycarpenter  article  sas  uk  analytics  finalists  ukcxawards  judge     ,0.3,0.0,positive,0.081,0.763,0.157,0.4215,forget the rear view  look  ahead for  cx  success   customer  customerexperience  economy  tiffanycarpenter  article  sas  uk  analytics  finalists  ukcxawards  judge     ,"['forget', 'the', 'rear', 'view', 'look', 'ahead', 'for', 'cx', 'success', 'customer', 'customerexperience', 'economy', 'tiffanycarpenter', 'article', 'sas', 'uk', 'analytics', 'finalists', 'ukcxawards', 'judge', '']","['forget', 'rear', 'view', 'look', 'ahead', 'cx', 'success', 'customer', 'customerexperience', 'economy', 'tiffanycarpenter', 'article', 'sas', 'uk', 'analytics', 'finalists', 'ukcxawards', 'judge', '']","['forget', 'rear', 'view', 'look', 'ahead', 'cx', 'success', 'custom', 'customerexperi', 'economi', 'tiffanycarpent', 'articl', 'sa', 'uk', 'analyt', 'finalist', 'ukcxaward', 'judg', '']",2018
https://twitter.com/rateitgreen/status/1593676684796084225,2022-11-18,rateitgreen,"Virtual Event with @NAEMorg: #Sustainability Trends &amp; Emerging Issues, December 1, 11am ET: https://t.co/sS6kvfuxbL #environment #environmentalmanagement #ESG #business #economy #carbon #energyefficiency #energy #energytransition #emissions #energymanagement #environmentaljustice https://t.co/vCc87yv951",en,False,Tajikistan,TJ,virtual event with     sustainability trends  amp  emerging issues  december 1  11am et     environment  environmentalmanagement  esg  business  economy  carbon  energyefficiency  energy  energytransition  emissions  energymanagement  environmentaljustice  ,0.0,0.0,positive,0.0,0.913,0.087,0.2732,virtual event with     sustainability trends  amp  emerging issues  december   am et     environment  environmentalmanagement  esg  business  economy  carbon  energyefficiency  energy  energytransition  emissions  energymanagement  environmentaljustice  ,"['virtual', 'event', 'with', 'sustainability', 'trends', 'amp', 'emerging', 'issues', 'december', 'am', 'et', 'environment', 'environmentalmanagement', 'esg', 'business', 'economy', 'carbon', 'energyefficiency', 'energy', 'energytransition', 'emissions', 'energymanagement', 'environmentaljustice', '']","['virtual', 'event', 'sustainability', 'trends', 'amp', 'emerging', 'issues', 'december', 'et', 'environment', 'environmentalmanagement', 'esg', 'business', 'economy', 'carbon', 'energyefficiency', 'energy', 'energytransition', 'emissions', 'energymanagement', 'environmentaljustice', '']","['virtual', 'event', 'sustain', 'trend', 'amp', 'emerg', 'issu', 'decemb', 'et', 'environ', 'environmentalmanag', 'esg', 'busi', 'economi', 'carbon', 'energyeffici', 'energi', 'energytransit', 'emiss', 'energymanag', 'environmentaljustic', '']",2022
